epoch,step,train_loss,val_acc,val_loss
0,49,4.2553391456604,,
0,57,,0.2114347368478775,4.406728744506836
1,99,3.869516372680664,,
1,115,,0.5792880058288574,3.622825860977173
2,149,3.417468309402466,,
2,173,,0.647249162197113,3.185668468475342
3,199,3.1667935848236084,,
3,231,,0.6742178797721863,2.7801105976104736
4,249,2.8042407035827637,,
4,289,,0.7022653818130493,2.440885543823242
5,299,2.3828492164611816,,
5,347,,0.7281553149223328,2.1588079929351807
6,349,1.9576826095581055,,
6,399,2.065075635910034,,
6,405,,0.7324703335762024,1.9539744853973389
7,449,1.8994574546813965,,
7,463,,0.7357065677642822,1.8137224912643433
8,499,1.7402538061141968,,
8,521,,0.7421790957450867,1.7193289995193481
9,549,1.5398051738739014,,
9,579,,0.7411003112792969,1.67490553855896
10,599,1.299738883972168,,
10,637,,0.7421790957450867,1.6600661277770996
11,649,1.2249054908752441,,
11,695,,0.7486515641212463,1.657023549079895
12,699,1.2205696105957031,,
12,749,1.3185677528381348,,
12,753,,0.7454153299331665,1.6643015146255493
13,799,1.2234487533569336,,
13,811,,0.736785352230072,1.6942042112350464
14,849,1.3026423454284668,,
14,869,,0.736785352230072,1.6790388822555542
15,899,1.214774250984192,,
15,927,,0.7443365454673767,1.6869779825210571
16,949,1.217175006866455,,
