epoch,step,train_loss,val_acc,val_loss
0,49,4.556943416595459,,
0,92,,0.007820136845111847,4.623468399047852
1,99,4.100132465362549,,
1,149,3.951782703399658,,
1,185,,0.004887585528194904,4.671284198760986
2,199,3.4930269718170166,,
2,249,3.406306505203247,,
2,278,,0.0029325513169169426,4.781659126281738
3,299,3.2197604179382324,,
3,349,2.95392107963562,,
3,371,,0.0039100684225559235,4.994039535522461
4,399,2.8962175846099854,,
4,449,2.5416364669799805,,
4,464,,0.0019550342112779617,5.271380424499512
5,499,2.4215774536132812,,
5,549,2.3348608016967773,,
5,557,,0.0,5.6239447593688965
6,599,2.203368663787842,,
6,649,2.380075454711914,,
6,650,,0.0,5.949357986450195
7,699,1.9328193664550781,,
7,743,,0.0,6.260886192321777
8,749,1.5907504558563232,,
8,799,1.8186732530593872,,
8,836,,0.0009775171056389809,6.4984869956970215
9,849,1.653878927230835,,
9,899,1.7482631206512451,,
9,929,,0.0,6.782491207122803
10,949,1.3626279830932617,,
10,999,1.904944896697998,,
10,1022,,0.0,6.981256484985352
11,1049,1.4621386528015137,,
11,1099,1.6318397521972656,,
11,1115,,0.0,7.091302394866943
12,1149,1.3332092761993408,,
12,1199,1.4587578773498535,,
12,1208,,0.0009775171056389809,7.208826065063477
13,1249,1.3692772388458252,,
13,1299,1.5673470497131348,,
13,1301,,0.0009775171056389809,7.244561195373535
14,1349,1.4498085975646973,,
14,1394,,0.0009775171056389809,7.3808512687683105
15,1399,1.3514821529388428,,
15,1449,1.4083647727966309,,
15,1487,,0.0009775171056389809,7.410083293914795
