epoch,step,train_loss,val_acc,val_loss
0,49,4.571937561035156,,
0,49,,0.02500000037252903,4.564110279083252
1,99,4.4658098220825195,,
1,99,,0.02500000037252903,4.547784328460693
2,149,4.333409309387207,,
2,149,,0.029999999329447746,4.528569221496582
3,199,4.231810569763184,,
3,199,,0.03999999910593033,4.507569789886475
4,249,3.7635583877563477,,
4,249,,0.04500000178813934,4.485689163208008
5,299,3.7498722076416016,,
5,299,,0.054999999701976776,4.464767932891846
6,349,3.3994557857513428,,
6,349,,0.05999999865889549,4.445209980010986
7,399,3.3402059078216553,,
7,399,,0.05999999865889549,4.434720516204834
8,449,3.4520857334136963,,
8,449,,0.07000000029802322,4.4251604080200195
9,499,2.560272455215454,,
9,499,,0.05999999865889549,4.43230676651001
10,549,2.972196340560913,,
10,549,,0.07500000298023224,4.459448337554932
11,599,2.289746046066284,,
11,599,,0.07500000298023224,4.5121846199035645
12,649,1.8995640277862549,,
12,649,,0.07500000298023224,4.563189506530762
13,699,1.8562712669372559,,
13,699,,0.07500000298023224,4.640788555145264
14,749,1.3188846111297607,,
14,749,,0.08500000089406967,4.716305732727051
15,799,1.1272296905517578,,
15,799,,0.10499999672174454,4.819361686706543
16,849,1.212949275970459,,
16,849,,0.09000000357627869,4.906462669372559
17,899,1.1000778675079346,,
17,899,,0.09000000357627869,5.011105537414551
18,949,1.0069209337234497,,
18,949,,0.08500000089406967,5.1009626388549805
19,999,0.9588900804519653,,
19,999,,0.0949999988079071,5.176666259765625
20,1049,0.5824852585792542,,
20,1049,,0.10000000149011612,5.265300273895264
21,1099,0.7682947516441345,,
21,1099,,0.0949999988079071,5.380316257476807
22,1149,0.450062096118927,,
22,1149,,0.09000000357627869,5.471113681793213
23,1199,0.6093341708183289,,
23,1199,,0.09000000357627869,5.556434154510498
24,1249,0.24331636726856232,,
24,1249,,0.09000000357627869,5.669813632965088
25,1299,0.33599841594696045,,
25,1299,,0.0949999988079071,5.748937606811523
26,1349,0.4628170132637024,,
26,1349,,0.10499999672174454,5.830972671508789
27,1399,0.3085514008998871,,
27,1399,,0.10499999672174454,5.9070000648498535
28,1449,0.336564838886261,,
28,1449,,0.10000000149011612,5.963255405426025
29,1499,0.3378613591194153,,
29,1499,,0.10000000149011612,6.0310516357421875
30,1549,0.14763742685317993,,
30,1549,,0.10000000149011612,6.101629734039307
31,1599,0.31449609994888306,,
31,1599,,0.0949999988079071,6.1811933517456055
32,1649,0.3074497878551483,,
32,1649,,0.0949999988079071,6.2640581130981445
33,1699,0.19208544492721558,,
33,1699,,0.10000000149011612,6.327620029449463
34,1749,0.1446731835603714,,
34,1749,,0.10000000149011612,6.389591217041016
35,1799,0.07606321573257446,,
35,1799,,0.09000000357627869,6.458625316619873
36,1849,0.5310863256454468,,
36,1849,,0.0949999988079071,6.492281436920166
37,1899,0.18648633360862732,,
37,1899,,0.10000000149011612,6.557861328125
38,1949,0.0837104469537735,,
38,1949,,0.0949999988079071,6.605737686157227
39,1999,0.164768785238266,,
39,1999,,0.0949999988079071,6.715448379516602
40,2049,0.18673023581504822,,
40,2049,,0.0949999988079071,6.766998291015625
41,2099,0.06850185245275497,,
41,2099,,0.0949999988079071,6.810269355773926
42,2149,0.08508218079805374,,
42,2149,,0.0949999988079071,6.8381266593933105
43,2199,0.059988752007484436,,
43,2199,,0.10499999672174454,6.898382186889648
44,2249,0.10839073359966278,,
44,2249,,0.10499999672174454,6.944036483764648
45,2299,0.1919238567352295,,
45,2299,,0.10000000149011612,7.01678466796875
46,2349,0.05810018256306648,,
